"numID","smoothVxTheory","smoothVyTheory","smoothVzTheory","smoothAxTheory","smoothAyTheory","smoothAzTheory","smoothSpeedTheory"
4,4.00240952071134,6.01690129570684,-0.18809360582165,-0.273377440537923,-0.10864760003116,0.00750604036545633,7.22620384419499
4,3.91224827990691,5.89811099157934,-0.18351098304722,-0.268533475104145,-0.0887676819086187,0.0080956079982515,7.07557074773372
4,3.82101907414619,5.77552003820536,-0.178684267528931,-0.263390549125396,-0.0687535625283992,0.00875545794777155,6.92123787474816
4,3.7287019760998,5.64919968883273,-0.173607657124295,-0.257796788444067,-0.0487364252441836,0.00947495386087099,6.76322980088635
4,3.6353909179635,5.5194608259551,-0.168283311825255,-0.251530380242469,-0.0287386499817527,0.0102379638717993,6.60184853803847
4,3.5412414621451,5.3866261350323,-0.162718666459398,-0.244516561740155,-0.00882760034376621,0.011024435243179,6.43745200474789
4,3.44632902590944,5.2505632363832,-0.156921771365033,-0.236698671993743,0.0109965238224394,0.0118129649120185,6.27000299598447
4,3.35059749108075,5.10993328847112,-0.150899551852974,-0.227775545458493,0.0309897976836769,0.0125898145254215,6.09846279579227
4,3.25404714925047,4.96126573708756,-0.144695766554318,-0.217741995570522,0.0517748863778139,0.0133630012991309,5.92029778707961
4,3.15777617187828,4.79900514995959,-0.138548024576591,-0.207515124231326,0.0740271266639272,0.0141687997303245,5.73232794496947
4,3.06066005125459,4.59547084696692,-0.131515255967278,-0.207412032193097,0.0926891576671383,0.015800931826842,5.50931326778738
4,2.9682081862689,4.41539170432541,-0.125081350690351,-0.214641931285597,0.107047273816259,0.0177415738743105,5.31508775588503
4,2.86780777186634,4.25195003172517,-0.118468777363661,-0.222756251550973,0.109825467448656,0.0199062338146413,5.12681418831895
4,2.75728487561198,4.07396194798918,-0.110920796289438,-0.230578049907241,0.104195607506637,0.0221537656375383,4.91441682741563
4,2.65634583795686,3.88499262634223,-0.102144007514906,-0.231639997560801,0.0896461577284121,0.0243123227745526,4.69594203443365
