"u","smoothVxTheory","smoothVyTheory","smoothVzTheory","smoothAxTheory","smoothAyTheory","smoothAzTheory","smoothSpeedTheory","smoothYawrateTheory"
25,7.70751058838777,-0.00109091006116691,-0.257397956156226,125.183947968946,0.00573827737991827,-3.36892776998134,7.74747003503682,0.72630700979878
25,20.235961578009,0.000172737788235677,-0.594248273272426,-83.5501050891496,0.00223268094551714,2.47101411050165,20.1690763238226,1.39584768769593
25,11.8669419013902,7.02222056392365e-06,-0.347289157691929,31.6379916516114,13.4283330306448,-1.79600351303124,11.8710947562643,0.476978561574512
25,15.0246836992939,1.34244147548567,-0.527142587981256,-50.5074282275089,3.17221113848621,2.64066702137338,15.1036988900601,0.110289653045466
25,9.96660549959388,1.65915700018679,-0.263045106761941,31.539011596449,33.9374533765404,-0.799465871775099,10.1476257065784,-0.505341152300666
25,13.1329629306892,5.05385773567256,-0.342995076107868,48.3128562071158,-22.014961407841,-2.29313203312659,13.999216204564,-1.2697145751674
25,17.944862908759,2.85134339723107,-0.572756672615268,-126.147511712255,-31.025660549298,3.44487232676194,18.2164233385474,-1.2043128760496
25,5.3327651356955,-0.250635845079956,-0.228240515035555,102.951204703263,4.18764691271204,-1.86647333510565,5.33234810791054,-0.444893643547803
25,15.6256879119966,0.167848348472842,-0.414954452740765,-5.20379641001879,-0.436214528697174,0.0917036466175891,15.6181983246487,0.392732394776194
25,15.1020902947584,0.124263469306098,-0.405900633643497,-44.3319158443475,-2.4826780102827,1.09278759988,15.092889898381,0.314281532151736
25,10.6642925871852,-0.123998377944495,-0.296751867790843,66.7944677469849,17.1456622378285,-3.05007116603374,10.6567122027966,-0.261059929313945
25,17.3383278417073,1.59018642889642,-0.602137562727524,-83.3373262876638,1.0904249167439,2.44347021805923,17.411483672718,-0.836183786493184
25,8.9959341493505,1.69865032611775,-0.35785737539152,115.2635786398,38.7461617895244,-3.40693770127019,9.17616076733612,-0.937868321030182
25,20.5240394067996,5.57309952811178,-0.698746264650194,-100.191344138408,-37.7742223276742,3.17397386712887,21.2451951338287,-0.650077452065042
25,10.4894924944212,1.79488262341117,-0.381425123289619,64.0421934182884,-11.7460641223714,-1.94940638939413,10.6937303636682,-0.359923517917777
25,16.8992688569748,0.620420188133576,-0.576404699180313,-59.1070981798175,-10.9426591742805,2.43822597741745,16.8932926200013,1.30440782722071
25,10.9858828700254,-0.473777603501171,-0.332538920208053,72.5642110290065,13.1233812568337,-2.46743698963823,10.9664635613988,1.78745196240741
25,18.2341784530777,0.83796399764409,-0.579546738823414,-62.2111919828113,-6.77910377066713,3.03163696704631,18.2581280405566,1.53301913336058
