"u","smoothVxTheory","smoothVyTheory","smoothVzTheory","smoothAxTheory","smoothAyTheory","smoothAzTheory","smoothSpeedTheory","smoothYawrateTheory"
27,448.106787896233,686.262895638276,-28.2485935650648,-2813.38676324556,-4325.57088244192,174.787618528407,819.678066805336,-860.790737740649
27,166.958212583298,254.974490592729,-10.7408477610047,-1052.49320274407,-1605.38254693866,65.4206911094156,304.956046481919,-302.818111063165
27,61.7555759862998,94.8131071279076,-4.18977962383655,-394.761508958066,-599.169836109783,24.5990087431685,113.284292902231,-111.061875564266
27,22.315510199865,35.0105639892611,-1.7277728314735,-148.277928924786,-224.284957961029,9.30489475599421,41.7394729235506,-36.1552836017539
27,7.51901501365813,12.6123357617574,-0.797289786620502,-55.6043550170066,-83.9699883374948,3.55638825288867,14.9623173616672,-8.08082825891993
27,1.98782838158486,4.21779694841551,-0.442345159706998,-20.7625311587837,-31.2967034349738,1.39070147690461,4.97514952283741,2.49512382201593
27,-0.0593196751329308,1.0805942028911,-0.304176769299796,-7.70286322367285,-11.4906357700325,0.57363346953979,1.43641497502838,5.24666230845157
27,-0.793225251575048,-0.0776860024364248,-0.247868076647309,-2.78389651391722,-4.08341198999707,0.264635118499655,0.972948586648712,5.87453428479416
27,-1.0354690398045,-0.491574216764498,-0.222495838386735,-0.932742270150362,-1.31997146900529,0.147175860630596,1.21684273804137,6.05772663147985
27,-1.09598228135414,-0.626298473507762,-0.208852635232366,-0.240912780217837,-0.291840658278446,0.102051824506584,1.32759364407569,6.11768982953676
27,-1.08898817380458,-0.657312318262107,-0.199714578237112,-0.0122504410145172,0.0710620938401654,0.0842126220256811,1.34469506168311,6.16623713437663
27,-1.06011944123706,-0.651608869869021,-0.192358441527031,0.09764641749811,0.197800945474398,0.0765980755649944,1.32543645782094,6.24149546188516
27,-1.02076600939928,-0.633220534483612,-0.185763417597995,0.0666563230613839,0.241705572738134,0.0728022910003259,1.29073972323144,6.28775188537254
27,-0.985066648631541,-0.610258874913499,-0.179547000858689,0.0971435901874891,0.238009802942099,0.0703890070869865,1.25646369312236,6.3202263803985
27,-0.946606338983627,-0.587753048821629,-0.173572311971224,0.064006652491674,0.233501352609697,0.0684756063475414,1.21964491925789,6.36638416940171
27,-0.911862810115908,-0.565603009810962,-0.16778835780966,0.0682125306086796,0.229987024992052,0.0667334659659798,1.18576692162818,6.39285518470658
27,-0.876962130160799,-0.543877187773719,-0.162178679870388,0.0339624654364332,0.209390560997786,0.0650485448532907,1.15200071372003,6.41358160948289
27,-0.845805963262187,-0.524177314088205,-0.156736882929957,0.037514497158055,0.205955940202308,0.0633893723811146,1.12178881794811,6.43008573138228
27,-0.814536777813314,-0.50487892210371,-0.151461036336934,0.0151464626231412,0.189928729008358,0.0617453134643313,1.09172110669158,6.44796647963232
27,-0.785735069083289,-0.487220818236497,-0.146348767001889,0.00534852717117218,0.194752646948128,0.0601227898288912,1.06404475402242,6.45826969977008
27,-0.758119750197218,-0.469145003914512,-0.14139827630623,-0.00470290353362302,0.174649699257607,0.0585291106794391,1.03734374738537,6.46200317424166
27,-0.731706182413057,-0.453121631142065,-0.136606660204053,-0.00180858237419912,0.179341584110613,0.0569632335194429,1.01205362874199,6.47572479283033
